transmitter_no,shipname,begin_date,end_date,registered_gear_type,length,width,num_messages,date_first_broadcast,date_last_broadcast,registered_fishing_region
40408943,NETRAL PERKASA,10/28/2016 0:00:00,10/27/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23.9,8.15,2790,10/24/2016 1:15:00,6/20/2017 23:09:00,"718,718"
40408944,SINAR JAYA - A,11/25/2016 0:00:00,11/24/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",23,7.6,123,1/5/2017 0:42:00,3/23/2017 0:43:00,"712, 713,712, 713"
40408945,RUKUN ARTA SANTOSA - 05,5/18/2016 0:00:00,5/17/2017 0:00:00,Lampara Seine Nets,23.8,7.7,117,3/22/2017 5:58:00,3/31/2017 22:10:00,"713, 712"
40408946,HALOGEN STAR II,7/21/2016 0:00:00,7/20/2017 0:00:00,Oceanic gillnet,17.12,5.6,6077,9/24/2016 4:22:00,6/20/2017 23:20:00,"718, 715"
40408947,BILLY WIJAYA - 01,5/4/2016 0:00:00,5/3/2017 0:00:00,Stick-Held lift net,18,5.1,1086,5/19/2016 12:32:00,3/31/2017 5:49:00,711
40408949,PUTRA DEWANTARA BARU,12/5/2016 0:00:00,12/4/2017 0:00:00,"Purse Seine Small Pelagics,Lampara Seine Nets",19.47,6.51,1013,11/29/2016 1:00:00,5/26/2017 23:21:00,"713,713"
40408973,GEMILANG ABADI,4/17/2017 0:00:00,4/16/2018 0:00:00,"Lampara Seine Nets,Purse Seine Small Pelagics",16.8,5.6,2076,2/21/2017 0:11:00,6/20/2017 23:13:00,"712, 713,712, 713"
40408974,INKA MINA 245,7/19/2013 0:00:00,7/18/2014 0:00:00,Purse Seine Small Pelagics,24.95,5.15,402,11/15/2016 3:49:00,1/21/2017 8:39:00,713
40408975,KM Karya Sempurna - 6,4/16/2016 0:00:00,4/15/2017 0:00:00,Hand Line Tuna,16.6,4.46,4703,1/4/2016 7:43:00,3/23/2017 0:03:00,718
40408976,40408976,12/15/2014 0:00:00,12/14/2015 0:00:00,Transporter,18.4,5,1,1/24/2015 5:19:00,1/24/2015 5:19:00,
40408977,VICTORY BARU,12/4/2016 0:00:00,12/3/2017 0:00:00,Stick-Held lift net,19.82,5.84,2974,9/20/2016 0:15:00,6/20/2017 22:09:00,711
40408978,KM ANDALAN SUMBER JAYA,2/17/2015 0:00:00,2/16/2016 0:00:00,Purse Seine Big Pelagics with one boat,27.04,8.27,3996,12/10/2015 7:40:00,2/16/2016 3:07:00,"572, 573"
